problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_1D_sto3g,1736,3,689,120264,LIST,112,24,182,238513,0.0141261,0.00282237,0.000449272,0,2112
H4_1D_sto3g,340955,3,689,120264,LIST,111,24,182,237022,0.0138764,0.00281527,0.000450475,0,2112
H4_1D_sto3g,82674392,3,689,120264,LIST,110,24,172,237036,0.0140569,0.00286558,0.000448912,0,2112
H4_1D_sto3g,234853455,3,689,120264,LIST,112,24,179,238120,0.0139735,0.00283843,0.000459933,0,2112
H4_1D_sto3g,5,3,689,120264,LIST,110,24,176,236486,0.0139549,0.00283032,0.000447168,0,2112
H4_1D_sto3g,1736,3,689,120264,LIST,112,24,182,238513,0.0139847,0.00278561,0.000455724,0,2112
H4_1D_sto3g,340955,3,689,120264,LIST,111,24,182,237022,0.0143653,0.00283378,0.000454403,0,2112
H4_1D_sto3g,82674392,3,689,120264,LIST,110,24,172,237036,0.0138245,0.00285512,0.00044781,0,2112
H4_1D_sto3g,234853455,3,689,120264,LIST,112,24,179,238120,0.0141692,0.00284703,0.000458871,0,2112
H4_1D_sto3g,5,3,689,120264,LIST,110,24,176,236486,0.0138425,0.00281884,0.00046956,0,2112
H4_1D_sto3g,1736,3,689,120264,LIST,112,24,182,238513,0.0140783,0.00279132,0.000454172,0,2112
H4_1D_sto3g,340955,3,689,120264,LIST,111,24,182,237022,0.0138391,0.00281871,0.000449083,0,2112
H4_1D_sto3g,82674392,3,689,120264,LIST,110,24,172,237036,0.0141616,0.00285889,0.000468599,0,2112
H4_1D_sto3g,234853455,3,689,120264,LIST,112,24,179,238120,0.0142508,0.00285184,0.00046391,0,2112
H4_1D_sto3g,5,3,689,120264,LIST,112,25,173,235751,0.0139411,0.00280467,0.000500369,0,2112
H4_1D_sto3g,1736,3,689,120264,LIST,111,25,170,234888,0.0136689,0.00284961,0.000476744,0,2112
H4_1D_sto3g,340955,3,689,120264,LIST,112,25,177,236108,0.013748,0.00281545,0.000480401,0,2112
H4_1D_sto3g,82674392,3,689,120264,LIST,113,25,179,236691,0.0137189,0.00277979,0.000476725,0,2112
H4_1D_sto3g,234853455,3,689,120264,LIST,111,25,173,234580,0.0136786,0.00283637,0.000476545,0,2112
H6_3D_sto3g,5,10,8721,19178632,LIST,1095,130,1148,18658392,3.97009,0.151544,0.0133583,0,137928
H6_3D_sto3g,1736,10,8721,19178632,LIST,1097,131,1153,18695710,3.97388,0.152527,0.0133907,0,138048
H6_3D_sto3g,340955,10,8721,19178632,LIST,1088,130,1145,18553492,3.94181,0.152966,0.0133364,0,138100
H6_3D_sto3g,82674392,10,8721,19178632,LIST,1095,131,1145,18639163,3.95567,0.152363,0.013329,0,138232
H6_3D_sto3g,234853455,10,8721,19178632,LIST,1096,131,1151,18650902,3.9695,0.151922,0.0135105,0,137656
H6_3D_sto3g,5,7,8721,19178632,LIST,1196,91,1241,10844828,3.5594,0.135647,0.0102589,0,81448
H6_3D_sto3g,1736,7,8721,19178632,LIST,1195,90,1233,10904812,3.51055,0.132883,0.0100573,0,81384
H6_3D_sto3g,340955,7,8721,19178632,LIST,1196,91,1235,10852576,3.49706,0.140641,0.00994227,0,81216
H6_3D_sto3g,82674392,7,8721,19178632,LIST,1195,91,1228,10848780,3.47143,0.131455,0.0100045,0,81528
H6_3D_sto3g,234853455,6,8721,19178632,LIST,1186,82,1242,10845739,3.46404,0.131345,0.00981428,0,81484
H6_3D_sto3g,5,5,8721,19178632,LIST,1365,54,1385,24679741,3.93265,0.111312,0.00763312,0,226776
H6_3D_sto3g,1736,5,8721,19178632,LIST,1364,53,1389,24669117,3.92682,0.111342,0.00753877,0,226776
H6_3D_sto3g,340955,4,8721,19178632,LIST,1362,45,1426,24701951,3.93608,0.111609,0.0075507,0,226776
H6_3D_sto3g,82674392,5,8721,19178632,LIST,1364,53,1385,24677910,3.93233,0.111477,0.00756904,0,226776
H6_3D_sto3g,234853455,5,8721,19178632,LIST,1364,53,1385,24675711,3.93006,0.11099,0.00752521,0,226776
H6_3D_sto3g,5,5,8721,19178632,LIST,1365,54,1385,24679741,3.99055,0.113718,0.00755978,0,226776
H6_3D_sto3g,1736,5,8721,19178632,LIST,1364,53,1389,24669117,3.97861,0.112415,0.00760937,0,226776
H6_3D_sto3g,340955,4,8721,19178632,LIST,1362,45,1426,24701951,3.98345,0.115391,0.00762016,0,226776
H6_3D_sto3g,82674392,5,8721,19178632,LIST,1364,53,1385,24677910,3.96012,0.111125,0.00773223,0,226776
H6_3D_sto3g,234853455,5,8721,19178632,LIST,1364,53,1385,24675711,3.97697,0.11329,0.00759132,0,226776
H6_3D_sto3g,5,5,8721,19178632,LIST,1365,54,1385,24679741,3.93116,0.11097,0.00758894,0,226776
H6_3D_sto3g,1736,5,8721,19178632,LIST,1364,53,1389,24669117,3.9332,0.111802,0.00761281,0,226776
H6_3D_sto3g,340955,4,8721,19178632,LIST,1362,45,1426,24701951,3.94035,0.11236,0.0075649,0,226772
H6_3D_sto3g,82674392,5,8721,19178632,LIST,1364,53,1385,24677910,3.96711,0.11108,0.00757187,0,226776
H6_3D_sto3g,234853455,5,8721,19178632,LIST,1364,53,1385,24675711,3.93741,0.111022,0.007555,0,226776
H6_3D_sto3g,5,5,8721,19178632,LIST,1365,54,1385,24679741,3.94793,0.11137,0.00753822,0,226776
H6_3D_sto3g,1736,5,8721,19178632,LIST,1364,53,1389,24669117,3.93453,0.111667,0.00760119,0,226776
H6_3D_sto3g,340955,4,8721,19178632,LIST,1362,45,1426,24701951,4.01524,0.115139,0.00757865,0,226776
H6_3D_sto3g,82674392,5,8721,19178632,LIST,1364,53,1385,24677910,3.95537,0.112104,0.00768406,0,226776
H6_3D_sto3g,234853455,5,8721,19178632,LIST,1364,53,1385,24675711,4.02261,0.113599,0.00776348,0,226772
H6_3D_sto3g,5,4,8721,19178632,LIST,1345,45,1401,24642526,3.93263,0.110907,0.00814879,0,226948
H6_3D_sto3g,1736,4,8721,19178632,LIST,1355,46,1419,24672557,3.92175,0.112358,0.00809368,0,226908
H6_3D_sto3g,340955,5,8721,19178632,LIST,1365,54,1387,24670154,4.03175,0.123848,0.00819786,0,226912
H6_3D_sto3g,82674392,5,8721,19178632,LIST,1363,54,1385,24661032,3.91977,0.11126,0.00811725,0,226908
H6_3D_sto3g,234853455,5,8721,19178632,LIST,1368,54,1390,24673667,3.92295,0.111234,0.00809094,0,226908
H6_2D_sto3g,5,11,18137,82641188,LIST,2255,152,2321,52457091,20.118,0.458145,0.0290277,0,322920
H6_2D_sto3g,1736,11,18137,82641188,LIST,2242,151,2301,52231553,19.8214,0.461073,0.0289564,0,323340
H6_2D_sto3g,340955,11,18137,82641188,LIST,2247,152,2313,52287959,19.8905,0.461333,0.0290306,0,323168
H6_2D_sto3g,82674392,11,18137,82641188,LIST,2246,151,2301,52384611,19.9875,0.455646,0.029161,0,322952
H6_2D_sto3g,234853455,12,18137,82641188,LIST,2249,157,2293,52270417,19.8234,0.457837,0.0290895,0,322340
H6_2D_sto3g,5,7,18137,82641188,LIST,2450,100,2505,28604089,16.8453,0.377733,0.0221319,0,271888
H6_2D_sto3g,1736,7,18137,82641188,LIST,2438,100,2496,28484069,16.9331,0.385247,0.0219419,0,271904
H6_2D_sto3g,340955,7,18137,82641188,LIST,2446,100,2507,28571447,16.7865,0.382655,0.021688,0,271692
H6_2D_sto3g,82674392,7,18137,82641188,LIST,2451,100,2514,28595707,16.8214,0.377889,0.0218303,0,271652
H6_2D_sto3g,234853455,7,18137,82641188,LIST,2455,100,2517,28644492,16.8151,0.379888,0.0219301,0,272072
